Date,Adj Close,Close,High,Low,Open,Volume
2024-06-03 00:00:00+00:00,193.5926666,194.0299988,194.9900055,192.5200043,192.8999939,50080500
2024-06-04 00:00:00+00:00,193.9119568,194.3500061,195.3200073,193.0299988,194.6399994,47471400
2024-06-05 00:00:00+00:00,195.4285278,195.8699951,196.8999939,194.8699951,195.3999939,54156800
2024-06-06 00:00:00+00:00,194.0416565,194.4799957,196.5,194.1699982,195.6900024,41181800
2024-06-07 00:00:00+00:00,196.4462433,196.8899994,196.9400024,194.1399994,194.6499939,53103900
2024-06-10 00:00:00+00:00,192.6847229,193.1199951,197.3000031,192.1499939,196.8999939,97262100
2024-06-11 00:00:00+00:00,206.6831055,207.1499939,207.1600037,193.6300049,193.6499939,172373300
2024-06-12 00:00:00+00:00,212.5897827,213.0700073,220.1999969,206.8999939,207.3699951,198134300
2024-06-13 00:00:00+00:00,213.7571411,214.2400055,216.75,211.6000061,214.7400055,97862700
2024-06-14 00:00:00+00:00,212.0110779,212.4900055,215.1699982,211.3000031,213.8500061,70122700
2024-06-17 00:00:00+00:00,216.1816559,216.6699982,218.9499969,212.7200012,213.3699951,93728300
2024-06-18 00:00:00+00:00,213.8070068,214.2899933,218.6300049,213,217.5899963,79943300
2024-06-20 00:00:00+00:00,209.2074127,209.6799927,214.2400055,208.8500061,213.9299927,86172500
2024-06-21 00:00:00+00:00,207.0223541,207.4900055,211.8899994,207.1100006,210.3899994,246421400
2024-06-24 00:00:00+00:00,207.6708679,208.1399994,212.6999969,206.5899963,207.7200012,80727000
2024-06-25 00:00:00+00:00,208.5987854,209.0700073,211.3800049,208.6100006,209.1499939,56713900
2024-06-26 00:00:00+00:00,212.7693634,213.25,214.8600006,210.6399994,211.5,66213200
2024-06-27 00:00:00+00:00,213.6174622,214.1000061,215.7400055,212.3500061,214.6900024,49772700
2024-06-28 00:00:00+00:00,210.1452789,210.6199951,216.0700073,210.3000031,215.7700043,82542700
2024-07-01 00:00:00+00:00,216.2614746,216.75,217.5099945,211.9199982,212.0899963,60402900
2024-07-02 00:00:00+00:00,219.7735443,220.2700043,220.3800049,215.1000061,216.1499939,58046200
2024-07-03 00:00:00+00:00,221.0506592,221.5500031,221.5500031,219.0299988,220,37369800
2024-07-05 00:00:00+00:00,225.8298492,226.3399963,226.4499969,221.6499939,221.6499939,60412400
